sku,nombre,marca,modelo,tipo,calidad,marco,compatibilidad,precio_publico,precio_mayorista,precio_promocional,costo,stock,publicado,novedad,nuevo_ingreso,promocion,fecha_ingreso,orden_destacado
MOD-SAM-A10-SM-OLED,Módulo Samsung A10 · Sin marco · OLED,Samsung,A10,Módulo,OLED,Sin marco,,19400,,,,4,true,false,false,false,,0
MOD-SAM-A01M-SM-OLED,Módulo Samsung A01M · Sin marco · OLED,Samsung,A01M,Módulo,OLED,Sin marco,,15000,,,,9,true,false,false,false,,0
MOD-SAM-A225G-SM-OLED-PREMIUM,Módulo Samsung A22 5G · Sin marco · OLED / PREMIUM,Samsung,A22 5G,Módulo,OLED / PREMIUM,Sin marco,,25000,,,,3,true,false,false,false,,0
MOD-SAM-A04-SM-OLED-KP,Módulo Samsung A04 · Sin marco · OLED / KP,Samsung,A04,Módulo,OLED / KP,Sin marco,,17000,,,,22,true,false,false,false,,0
MOD-SAM-A04-CM-OLED,Módulo Samsung A04 · Con marco · OLED,Samsung,A04,Módulo,OLED,Con marco,,27000,,,,1,true,false,false,false,,0
MOD-SAM-A05-SM-PREMIUM,Módulo Samsung A05 · Sin marco · PREMIUM,Samsung,A05,Módulo,PREMIUM,Sin marco,,20000,,,,16,true,false,false,false,,0
MOD-SAM-A06-SM-OLED,Módulo Samsung A06 · Sin marco · OLED,Samsung,A06,Módulo,OLED,Sin marco,,22000,,,,24,true,false,false,false,,0
MOD-SAM-A10S-SM-OLED,Módulo Samsung A10S · Sin marco · OLED,Samsung,A10S,Módulo,OLED,Sin marco,,18000,,,,3,true,false,false,false,,0
MOD-SAM-A10S-SM-OLED-PREMIUM,Módulo Samsung A10S · Sin marco · OLED / PREMIUM,Samsung,A10S,Módulo,OLED / PREMIUM,Sin marco,,18000,,,,4,true,false,false,false,,0
MOD-SAM-A11-SM-KP,Módulo Samsung A11 · Sin marco · KP,Samsung,A11,Módulo,KP,Sin marco,,21100,,,,11,true,false,false,false,,0
MOD-SAM-A13UNIVERSAL-SM-KP,Módulo Samsung A13 Universal · Sin marco · KP,Samsung,A13 Universal,Módulo,KP,Sin marco,,19000,,,,11,true,false,false,false,,0
MOD-SAM-A21S-SM-OLED,Módulo Samsung A21S · Sin marco · OLED,Samsung,A21S,Módulo,OLED,Sin marco,,20800,,,,4,true,false,false,false,,0
MOD-SAM-A224G-CM-OLED,Módulo Samsung A22 4G · Con marco · OLED,Samsung,A22 4G,Módulo,OLED,Con marco,,65700,,,,2,true,false,false,false,,0
MOD-MOT-E7PLUS-SM-PREMIUM,Módulo Motorola E7 Plus · Sin marco · PREMIUM,Motorola,E7 Plus,Módulo,PREMIUM,Sin marco,,21000,,,,6,true,false,false,false,,0
MOD-MOT-E7-SM-PREMIUM,Módulo Motorola E7 · Sin marco · PREMIUM,Motorola,E7,Módulo,PREMIUM,Sin marco,E7i Power,20000,,,,9,true,false,false,false,,0
MOD-MOT-E13-SM-KP,Módulo Motorola E13 · Sin marco · KP,Motorola,E13,Módulo,KP,Sin marco,,23100,,,,9,true,false,false,false,,0
MOD-MOT-E20-SM-KP,Módulo Motorola E20 · Sin marco · KP,Motorola,E20,Módulo,KP,Sin marco,,21500,,,,11,true,false,false,false,,0
MOD-MOT-E22-SM-KP,Módulo Motorola E22 · Sin marco · KP,Motorola,E22,Módulo,KP,Sin marco,,20000,,,,5,true,false,false,false,,0
MOD-MOT-E32-SM-PREMIUM,Módulo Motorola E32 · Sin marco · PREMIUM,Motorola,E32,Módulo,PREMIUM,Sin marco,,26000,,,,4,true,false,false,false,,0
MOD-MOT-E40-SM-PREMIUM,Módulo Motorola E40 · Sin marco · PREMIUM,Motorola,E40,Módulo,PREMIUM,Sin marco,,19000,,,,9,true,false,false,false,,0
MOD-MOT-G13-SM-KP,Módulo Motorola G13 · Sin marco · KP,Motorola,G13,Módulo,KP,Sin marco,G23; G34; G53,24000,,,,11,true,false,false,false,,0
MOD-MOT-G05-SM-PREMIUM,Módulo Motorola G05 · Sin marco · PREMIUM,Motorola,G05,Módulo,PREMIUM,Sin marco,E15,27000,,,,6,true,false,false,false,,0
MOD-MOT-G22-CM-KP,Módulo Motorola G22 · Con marco · KP,Motorola,G22,Módulo,KP,Con marco,,25000,,,,9,true,false,false,false,,0
MOD-MOT-G31-SM-OLED,Módulo Motorola G31 · Sin marco · OLED,Motorola,G31,Módulo,OLED,Sin marco,G41; G71,67500,,,,1,true,false,false,false,,0
MOD-MOT-E6S-ORIGINAL,Módulo Motorola E6S · ORIGINAL,Motorola,E6S,Módulo,ORIGINAL,,,25500,,,,0,true,false,false,false,,0
MOD-MOT-E6I-ORIGINAL,Módulo Motorola E6I · ORIGINAL,Motorola,E6I,Módulo,ORIGINAL,,,25500,,,,1,true,false,false,false,,0
MOD-MOT-E7-ORIGINAL,Módulo Motorola E7 · ORIGINAL,Motorola,E7,Módulo,ORIGINAL,,,29000,,,,1,true,false,false,false,,0
MOD-MOT-E20-ORIGINAL,Módulo Motorola E20 · ORIGINAL,Motorola,E20,Módulo,ORIGINAL,,,30000,,,,2,true,false,false,false,,0
MOD-MOT-E22-ORIGINAL,Módulo Motorola E22 · ORIGINAL,Motorola,E22,Módulo,ORIGINAL,,,30000,,,,2,true,false,false,false,,0
MOD-MOT-E32-ORIGINAL,Módulo Motorola E32 · ORIGINAL,Motorola,E32,Módulo,ORIGINAL,,,30000,,,,1,true,false,false,false,,0
MOD-MOT-E40-ORIGINAL,Módulo Motorola E40 · ORIGINAL,Motorola,E40,Módulo,ORIGINAL,,,30000,,,,2,true,false,false,false,,0
MOD-MOT-G13-ORIGINAL,Módulo Motorola G13 · ORIGINAL,Motorola,G13,Módulo,ORIGINAL,,G23,30000,,,,1,true,false,false,false,,0
MOD-MOT-G22-ORIGINAL,Módulo Motorola G22 · ORIGINAL,Motorola,G22,Módulo,ORIGINAL,,,30000,,,,2,true,false,false,false,,0
MOD-APP-7PLUS-CM-SUNLONG,Módulo iPhone 7 Plus · Con marco · SUNLONG,iPhone,7 Plus,Módulo,SUNLONG,Con marco,,28100,,,,2,true,false,false,false,,0
MOD-APP-8PLUS-SUNLONG,Módulo iPhone 8 Plus · SUNLONG,iPhone,8 Plus,Módulo,SUNLONG,,,29000,,,,2,true,false,false,false,,0
MOD-APP-X-SUNLONG,Módulo iPhone X · SUNLONG,iPhone,X,Módulo,SUNLONG,,,35000,,,,0,true,false,false,false,,0
MOD-APP-XR-SUNLONG,Módulo iPhone XR · SUNLONG,iPhone,XR,Módulo,SUNLONG,,,46900,,,,0,true,false,false,false,,0
MOD-APP-XS-SUNLONG,Módulo iPhone XS · SUNLONG,iPhone,XS,Módulo,SUNLONG,,,49100,,,,0,true,false,false,false,,0
MOD-APP-11PROFHD-SUNLONG,Módulo iPhone 11 Pro FHD · SUNLONG,iPhone,11 Pro FHD,Módulo,SUNLONG,,,64400,,,,0,true,false,false,false,,0
MOD-APP-XSMAXFHD-SUNLONG,Módulo iPhone XS MAX FHD · SUNLONG,iPhone,XS MAX FHD,Módulo,SUNLONG,,,68200,,,,1,true,false,false,false,,0
BAT-MOT-E6S-ORIGINAL,Batería Motorola E6S · ORIGINAL,Motorola,E6S,Batería,ORIGINAL,,KS40; E6I,28100,,,,1,true,false,false,false,,0
BAT-MOT-E22-ORIGINAL,Batería Motorola E22 · ORIGINAL,Motorola,E22,Batería,ORIGINAL,,NH40,32800,,,,0,true,false,false,false,,0
BAT-MOT-G52-ORIGINAL,Batería Motorola G52 · ORIGINAL,Motorola,G52,Batería,ORIGINAL,,NH50,30700,,,,1,true,false,false,false,,0
BAT-MOT-G7POWER-ORIGINAL,Batería Motorola G7 Power · ORIGINAL,Motorola,G7 Power,Batería,ORIGINAL,,JK50,32800,,,,3,true,false,false,false,,0
BAT-SAM-J2PRIME-ORIGINAL,Batería Samsung J2 Prime · ORIGINAL,Samsung,J2 Prime,Batería,ORIGINAL,,,14000,,,,2,true,false,false,false,,0
BAT-APP-11PRO-FOXCONN,Batería iPhone 11 Pro · FOXCONN,iPhone,11 Pro,Batería,FOXCONN,,,32700,,,,1,true,false,false,false,,0
MOD-SAM-A145G-SM-PREMIUM,Módulo Samsung A14 5G · Sin marco · PREMIUM,Samsung,A14 5G,Módulo,PREMIUM,Sin marco,,27000,,,,9,true,false,false,false,,0
MOD-XIA-14C-SM-SERVICEPAC,Módulo Xiaomi 14C · Sin marco · SERVICE PACK,Xiaomi,14C,Módulo,SERVICE PACK,Sin marco,,32800,,,,1,true,false,false,false,,0
MOD-TCL-408-SM-KP,Módulo TCL 408 · Sin marco · KP,TCL,408,Módulo,KP,Sin marco,405,24500,,,,7,true,false,false,false,,0
MOD-XIA-POCOC71-SM-SERVICEPAC,Módulo Xiaomi Poco C71 · Sin marco · SERVICE PACK,Xiaomi,Poco C71,Módulo,SERVICE PACK,Sin marco,,32700,,,,3,true,false,false,false,,0
MOD-XIA-POCOC71-SM-KP,Módulo Xiaomi Poco C71 · Sin marco · KP,Xiaomi,Poco C71,Módulo,KP,Sin marco,,24000,,,,7,true,false,false,false,,0
MOD-XIA-13C-SM-SERVICEPAC,Módulo Xiaomi 13C · Sin marco · SERVICE PACK,Xiaomi,13C,Módulo,SERVICE PACK,Sin marco,,32000,,,,2,true,false,false,false,,0
MOD-XIA-15C-SM-SERVICEPAC,Módulo Xiaomi 15C · Sin marco · SERVICE PACK,Xiaomi,15C,Módulo,SERVICE PACK,Sin marco,,37500,,,,2,true,false,false,false,,0
MOD-APP-12FHD-SUNLONG,Módulo iPhone 12 FHD · SUNLONG,iPhone,12 FHD,Módulo,SUNLONG,,,75000,,,,0,true,false,false,false,,0
MOD-APP-13FHD-SUNLONG,Módulo iPhone 13 FHD · SUNLONG,iPhone,13 FHD,Módulo,SUNLONG,,,88000,,,,0,true,false,false,false,,0
BAT-SAM-A21S-ORIGINAL,Batería Samsung A21S · ORIGINAL,Samsung,A21S,Batería,ORIGINAL,,,28000,,,,1,true,false,false,false,,0
BAT-SAM-A04E-ORIGINAL,Batería Samsung A04E · ORIGINAL,Samsung,A04E,Batería,ORIGINAL,,,28000,,,,1,true,false,false,false,,0
BAT-APP-12-FOXCONN,Batería iPhone 12 · FOXCONN,iPhone,12,Batería,FOXCONN,,,32000,,,,1,true,false,false,false,,0
BAT-APP-13-FOXCONN,Batería iPhone 13 · FOXCONN,iPhone,13,Batería,FOXCONN,,,25700,,,,1,true,false,false,false,,0
MOD-XIA-POCOC61-SM-SERVICEPAC,Módulo Xiaomi Poco C61 · Sin marco · SERVICE PACK,Xiaomi,Poco C61,Módulo,SERVICE PACK,Sin marco,,32800,,,,2,true,false,false,false,,0
PEG-GEN-B7000TRANSPARENTE,Pegamento B7000 Transparente,General,B7000 Transparente,Pegamento,,,,6000,,,,3,true,false,false,false,,0
PEG-GEN-T7000NEGRO,Pegamento T7000 Negro,General,T7000 Negro,Pegamento,,,,6000,,,,1,true,false,false,false,,0
MOD-TCL-403-SM-KP,Módulo TCL 403 · Sin marco · KP,TCL,403,Módulo,KP,Sin marco,,25000,,,,10,true,false,false,false,,0
MOD-TCL-505-SM-KP,Módulo TCL 505 · Sin marco · KP,TCL,505,Módulo,KP,Sin marco,,28000,,,,7,true,false,false,false,,0
TAP-APP-11,Tapa iPhone 11,iPhone,11,Tapa,,,,10800,,,,9,true,false,false,false,,0
TAP-APP-12,Tapa iPhone 12,iPhone,12,Tapa,,,,10800,,,,6,true,false,false,false,,0
TAP-APP-13,Tapa iPhone 13,iPhone,13,Tapa,,,,10800,,,,8,true,false,false,false,,0
TAP-APP-14,Tapa iPhone 14,iPhone,14,Tapa,,,,10800,,,,1,true,false,false,false,,0
TAP-APP-11PRO,Tapa iPhone 11 Pro,iPhone,11 Pro,Tapa,,,,13000,,,,6,true,false,false,false,,0
TAP-APP-13PRO,Tapa iPhone 13 Pro,iPhone,13 Pro,Tapa,,,,13000,,,,2,true,false,false,false,,0
TAP-APP-14PRO,Tapa iPhone 14 Pro,iPhone,14 Pro,Tapa,,,,13000,,,,2,true,false,false,false,,0
TAP-APP-14PLUS,Tapa iPhone 14 Plus,iPhone,14 Plus,Tapa,,,,13000,,,,2,true,false,false,false,,0
TAP-APP-11PROMAX,Tapa iPhone 11 Pro Max,iPhone,11 Pro Max,Tapa,,,,13000,,,,6,true,false,false,false,,0
TAP-APP-12PROMAX,Tapa iPhone 12 Pro Max,iPhone,12 Pro Max,Tapa,,,,13000,,,,3,true,false,false,false,,0
TAP-APP-13PROMAX,Tapa iPhone 13 Pro Max,iPhone,13 Pro Max,Tapa,,,,13000,,,,6,true,false,false,false,,0
TAP-APP-14COMPLETA,Tapa iPhone 14 completa,iPhone,14 completa,Tapa,,,,18000,,,,7,true,false,false,false,,0
TAP-APP-15COMPLETA,Tapa iPhone 15 completa,iPhone,15 completa,Tapa,,,,20000,,,,8,true,false,false,false,,0
TAP-APP-15PROCOMPLETA,Tapa iPhone 15 Pro completa,iPhone,15 Pro completa,Tapa,,,,22000,,,,7,true,false,false,false,,0
TAP-APP-15PROMAXCOMPLETA,Tapa iPhone 15 Pro Max completa,iPhone,15 Pro Max completa,Tapa,,,,24000,,,,6,true,false,false,false,,0
TAP-APP-16COMPLETA,Tapa iPhone 16 completa,iPhone,16 completa,Tapa,,,,28000,,,,10,true,false,false,false,,0
TAP-APP-16PROCOMPLETA,Tapa iPhone 16 Pro completa,iPhone,16 Pro completa,Tapa,,,,30000,,,,8,true,false,false,false,,0
FLX-APP-11,Flex de carga iPhone 11,iPhone,11,Flex de carga,,,,12000,,,,4,true,false,false,false,,0
FLX-APP-12MINI,Flex de carga iPhone 12 mini,iPhone,12 mini,Flex de carga,,,,16500,,,,2,true,false,false,false,,0
FLX-APP-13,Flex de carga iPhone 13,iPhone,13,Flex de carga,,,,16500,,,,2,true,false,false,false,,0
FLX-APP-15PRO,Flex de carga iPhone 15 Pro,iPhone,15 Pro,Flex de carga,,,,29000,,,,3,true,false,false,false,,0
FLX-APP-16PRO,Flex de carga iPhone 16 Pro,iPhone,16 Pro,Flex de carga,,,,25000,,,,3,true,false,false,false,,0
FLX-APP-XR,Flex de carga iPhone XR,iPhone,XR,Flex de carga,,,,10000,,,,1,true,false,false,false,,0
FLX-APP-XS,Flex de carga iPhone XS,iPhone,XS,Flex de carga,,,,10000,,,,2,true,false,false,false,,0
